symbol_1,symbol_2,Paralogs names,Correlation,gene_1,chr_1,gene_2,chr_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,both_missense,missense_1,missense_2,expected_both_missense,p-value_missense,z-score_missense,both_missense_lof,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
TRPM3,TRPM7,"TRPM2, TRPM5, TRPM8, TRPM6, TRPM1, TRPM3, TRPM4",0.129796600374966,ENSG00000083067,9,ENSG00000133884,11,0.0,281.0,13.0,0.0106837301625443,0.9893731381803595,-2.303446684633998,0.0,275.0,9.0,0.0064583004241801,0.9935625095748292,-2.48720880093413,0.0,0.0092790862788786,0.99076383159341,-2.3560116810522773
CAB39,CAB39L,CAB39L,0.281956863534729,ENSG00000135932,2,ENSG00000102547,13,,,,,,,,,,,,,,,,
WNK1,WNK2,"WNK4, EPHA6, FER, EPHA1, FES, WNK2, WNK3",0.267704031276576,ENSG00000060237,12,ENSG00000127616,19,0.0,481.0,20.0,0.0281350901077681,0.9722570156243052,-1.915051244265773,0.0,61.0,84.0,0.0133706389387875,0.9867183509950784,-2.217875858042391,0.0,0.0031665693035613,0.9968384389892524,-2.7305370764427783
MYC,MYCN,"MYCN, MYCL1",0.213276041980841,ENSG00000136997,8,ENSG00000004059,7,0.0,6.0,5.0,8.773936624044126e-05,0.9999122644827452,-3.7519406139480216,0.0,135.0,7.0,0.002465896525596,0.9975371412997408,-2.811851921477144,0.0,0.0017519953113966,0.9982495385364932,-2.919945777846757
PLK1,PLK2,"PLK2, PLK5, PLK3",0.17113651574403,ENSG00000166851,16,ENSG00000101421,20,0.0,38.0,1.0,0.0001111365305712,0.9998888696448642,-3.6922706949071946,0.0,849.0,88.0,0.1949545621379189,0.8228720467531515,-0.9263658088490112,0.0,0.0022036207694455,0.9977988054203408,-2.84779052213528
HGS,WDFY1,"WDFY2, WDFY1",0.150202379913816,ENSG00000185359,17,ENSG00000188191,7,0.0,28.0,115.0,0.0094173586431406,0.9906268458068828,-2.350537702739158,6.0,835.0,2156.0,4.697624210761455,0.8049284798003653,-0.8593579884383622,0.0,0.2492375552249852,0.7793948020838048,-0.770150882729214
MYBL1,MYBL2,"MYB, MYBL1",0.535371631931942,ENSG00000185697,8,ENSG00000112576,6,0.0,28.0,28.0,0.0022929221044168,0.997709704633453,-2.835137910071045,0.0,132.0,588.0,0.2025323013022902,0.8166601029872103,-0.9027100634569838,0.0,0.0095931476606253,0.9904527197921336,-2.343679720051487
H2AFV,H2AFZ,H2AFV,0.116485952614078,ENSG00000105968,7,ENSG00000082258,2,,,,,,,,,,,,,,,,
TUBB,TUBB4B,"TUBB4B, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.252563111437037,ENSG00000196230,6,ENSG00000163864,3,0.0,593.0,3.0,0.0052029444180581,0.9948105674532552,-2.5629444563946944,0.0,14.0,18.0,0.0006575724068256,0.999342643746528,-3.212748738054463,0.0,0.000109013041598,0.9998909929001076,-3.6971725064782817
RBM47,SYNCRIP,"RBM47, DND1, RBM46, A1CF, HNRNPR",0.138137234884552,ENSG00000163694,4,ENSG00000064270,16,0.0,49.0,559.0,0.0801089660230642,0.9230157635496998,-1.4256531959712169,1.0,807.0,850.0,1.7899277478652085,0.4658404668946649,0.0857301504155811,2.0,1.1708857198667926,0.8857387023576659,-1.2041733211864196
BTRC,FBXW11,BTRC,0.374783854570736,ENSG00000166167,10,ENSG00000143614,1,0.0,2.0,214.0,0.0012517482916969,0.9987490348184096,-3.023107878766909,0.0,98.0,529.0,0.1352772568041813,0.8734737015853486,-1.1429662673572722,0.0,0.0544338454379421,0.9470211565554582,-1.6166322467465493
GMPR,IMPDH2,"GMPR, GMPR2, IMPDH1",0.148447758414637,ENSG00000137198,6,ENSG00000119541,18,0.0,72.0,91.0,0.0191622775869123,0.9810201517420704,-2.075289667206261,0.0,1190.0,564.0,1.7513345101788955,0.1735421950237946,0.9402596526130222,1.0,0.2810719589202151,0.9671760293270506,-1.8408199971874024
IMPDH1,IMPDH2,"GMPR, GMPR2, IMPDH1",0.3069990748109,ENSG00000106348,7,ENSG00000197959,1,0.0,57.0,220.0,0.0366750550885044,0.96398932788797,-1.7989831622666848,0.0,954.0,79.0,0.1966611190984901,0.8214689662929885,-0.9209777045499842,1.0,0.5447537421569374,0.8959333681281625,-1.2587150767542772
EEF1A1,EEF1A2,EEF1A2,0.240127516416671,ENSG00000156508,6,ENSG00000165209,9,0.0,2.0,3.0,1.754787324808825e-05,0.9999824522807148,-4.137602041405745,0.0,2.0,21.0,0.0001095954011376,0.999890410604219,-3.6958193408137863,0.0,1.5573291656859272e-05,0.9999844268296062,-4.164918792259528
SDC1,SDC4,"SDC3, SDC4, SDC2",0.138226174492592,ENSG00000115884,2,ENSG00000111859,6,,,,,,,,,,,,,,,,
CHMP4B,CHMP4C,"CHMP4C, CHMP4A",0.588000403229784,ENSG00000101421,20,ENSG00000092439,15,0.0,253.0,1.0,0.000739935321961,0.999260338362672,-3.178709388512772,0.0,1706.0,88.0,0.391746151952049,0.6758756619035814,-0.4561965081225312,0.0,0.0044280059277669,0.9955817832363256,-2.618318307416608
CHMP4A,CHMP4B,"CHMP4C, CHMP4A",0.382068547653729,ENSG00000254505,14,ENSG00000130244,19,0.0,51.0,396.0,0.059066141353065,0.9426444193178182,-1.577366750729427,5.0,119.0,209.0,0.0648987433736505,0.9999999999018386,-6.364190204088484,1.0,0.1223126326729727,0.993102670880254,-2.4625665172765725
COPZ1,COPZ2,COPZ2,0.111432988109402,ENSG00000111481,12,ENSG00000175470,10,0.0,14.0,4.0,0.0001637801503154,0.9998362332609212,-3.592489800398216,0.0,349.0,23.0,0.0209457686888461,0.9792720703377996,-2.038941570949635,0.0,0.0036233858588292,0.9963831706823616,-2.685891445306483
PFN1,PFN2,"PFN2, PFN3",0.411824098859048,ENSG00000108518,17,ENSG00000179134,19,0.0,41.0,3.0,0.0003597314015858,0.9996403332939968,-3.382102338468492,0.0,2.0,10.0,5.2188286256001415e-05,0.9999478130755288,-3.8801924451325776,0.0,1.5573291656859272e-05,0.9999844268296062,-4.164918792259528
ATP6V1B1,ATP6V1B2,ATP6V1B1,0.218866641524118,ENSG00000116039,2,ENSG00000139793,13,,,,,,,,,,,,,,,,
BOK,MCL1,"BCL2, BOK, BCL2L1, BAX, BCL2A1, BAK1, BCL2L2",0.103731733713694,ENSG00000176720,2,ENSG00000188229,9,,,,,,,,,,,,,,,,
BCL2L1,MCL1,"BCL2, BOK, BCL2L1, BAX, BCL2A1, BAK1, BCL2L2",0.464229101851387,ENSG00000171552,20,ENSG00000188229,9,0.0,79.0,0.0,0.0,1.0,-inf,0.0,79.0,80.0,0.0164914984568964,0.9836437418447952,-2.13559405635276,0.0,0.0,1.0,-inf
PMM1,PMM2,PMM1,0.254617192411588,ENSG00000100417,22,ENSG00000101057,20,0.0,70.0,101.0,0.0206772439773306,0.979535064396604,-2.044239718128771,0.0,378.0,497.0,0.490220229288498,0.6124914907648971,-0.2858186560558432,0.0,0.0990928548125955,0.9056586093586784,-1.3144857772257517
DPF1,DPF2,"DPF3, PHF10, DPF1",0.136157695446061,ENSG00000011332,19,ENSG00000167771,11,0.0,46.0,17.0,0.0022870728133341,0.9977155405449992,-2.8359528607776783,0.0,819.0,52.0,0.1111297367535294,0.8948226500124483,-1.2525907031699766,0.0,0.0361378232897419,0.9645073527458328,-1.8055715207488217
PDS5A,PDS5B,PDS5B,0.107800861778166,ENSG00000121892,4,ENSG00000084710,2,,,,,,,,,,,,,,,,
KRAS,NRAS,"RALA, RRAS, ERAS, RALB, NRAS, HRAS, RRAS2, MRAS",0.272496645099348,ENSG00000133703,12,ENSG00000154917,3,0.0,21.0,298.0,0.018302431797756,0.9818640405437464,-2.093865998482552,0.0,8.0,98.0,0.0020457808212352,0.9979563103620716,-2.871338230104725,0.0,0.006187787884992,0.9938313170483932,-2.502344930999839
KRAS,MRAS,"RALA, RRAS, ERAS, RALB, NRAS, HRAS, RRAS2, MRAS",0.19252313442783,ENSG00000133703,12,ENSG00000196542,3,0.0,219.0,298.0,0.1908682173194559,0.8262414652920484,-0.9394162571080684,0.0,0.0,98.0,0.0,1.0,-inf,0.0,0.0,1.0,-inf
TUBB,TUBB4B,"TUBB, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.385702758828523,ENSG00000196230,6,ENSG00000109332,4,0.0,225.0,3.0,0.0019741357404099,0.9980278115839124,-2.8825762307886764,0.0,2.0,18.0,9.393891526080254e-05,0.9999060654968608,-3.734793863081928,0.0,1.5573291656859272e-05,0.9999844268296062,-4.164918792259528
TUBB4A,TUBB4B,"TUBB, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.166251224243263,ENSG00000104833,19,ENSG00000092068,14,0.0,102.0,28.0,0.00835278766609,0.9916819999395976,-2.394655224591585,3.0,1014.0,283.0,0.7488027500297341,0.9927475267078072,-2.4445089897534693,0.0,0.073692816120258,0.9289570106353242,-1.4680671681141515
TUBB2B,TUBB4B,"TUBB, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.235897606009855,ENSG00000137285,6,ENSG00000057935,2,,,,,,,,,,,,,,,,
TUBB3,TUBB4B,"TUBB, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.107249722383922,ENSG00000258947,16,ENSG00000164967,9,0.0,23.0,0.0,0.0,1.0,-inf,0.0,0.0,165.0,0.0,1.0,-inf,0.0,0.0,1.0,-inf
TUBB2A,TUBB4B,"TUBB, TUBB8, TUBB4A, TUBB2B, TUBB3, TUBB2A, TUBB6, TUBB1",0.233881728112213,ENSG00000137267,6,ENSG00000059804,12,0.0,3.0,108.0,0.0009475851553967,0.9990528636616413,-3.106326758754076,0.0,77.0,522.0,0.104882798888686,0.9004300478045716,-1.284005861848648,0.0,0.0215845822364069,0.9786466978419982,-2.0265680742313803
RAB10,RAB8B,"RAB8B, RAB12, RAB8A, RAB13, RAB15",0.301321897215955,ENSG00000084733,2,ENSG00000139323,12,,,,,,,,,,,,,,,,
RAB10,RAB13,"RAB8B, RAB12, RAB8A, RAB13, RAB15",0.193399174146063,ENSG00000084733,2,ENSG00000101493,18,,,,,,,,,,,,,,,,
WWTR1,YAP1,WWTR1,0.1811409525909,ENSG00000018408,3,ENSG00000213639,2,,,,,,,,,,,,,,,,
SCD,SCD5,SCD5,0.156276628886836,ENSG00000099194,10,ENSG00000111674,12,0.0,5.0,25.0,0.0003655806926685,0.9996344861238105,-3.3776699099016496,0.0,204.0,523.0,0.2784036318612651,0.7569912140693376,-0.6966568452677797,0.0,0.0132372979083303,0.9868499298090035,-2.221750962434967
ACACA,ACACB,ACACB,0.111775616971596,ENSG00000278540,17,ENSG00000205250,16,0.0,18.0,119.0,0.0062645907495675,0.9937549908874104,-2.4979886797637247,0.0,444.0,199.0,0.230557411021763,0.7940908441268011,-0.8206979974610671,0.0,0.1371384063303027,0.8718495482844589,-1.1351776226702184
RPL22,RPL22L1,RPL22,0.243893215554418,ENSG00000116251,1,ENSG00000109971,11,0.0,19.0,14.0,0.0007779557139985,0.9992223468150914,-3.164161178574783,0.0,103.0,187.0,0.0502599290788421,0.9509822044438688,-1.6544525777700825,0.0,0.0037427810948651,0.996264214380065,-2.675060738930908
BCL2,BCL2L1,"BCL2, MCL1, BOK, BAX, BCL2A1, BAK1, BCL2L2",0.116164922873484,ENSG00000171791,18,ENSG00000112576,6,0.0,28.0,3.0,0.0002456702254732,0.9997543599489856,-3.4854662995911374,0.0,132.0,0.0,0.0,1.0,-inf,0.0,0.0010278372493527,0.998972690794423,-3.0822215699979623
BCL2L1,MCL1,"BCL2, MCL1, BOK, BAX, BCL2A1, BAK1, BCL2L2",0.158530810941421,ENSG00000171552,20,ENSG00000147416,8,0.0,17.0,0.0,0.0,1.0,-inf,0.0,246.0,80.0,0.0513532736759054,0.9499430213848484,-1.6443014148869493,0.0,0.0,1.0,-inf
BCL2A1,BCL2L1,"BCL2, MCL1, BOK, BAX, BCL2A1, BAK1, BCL2L2",0.137357673127681,ENSG00000140379,15,ENSG00000062038,16,0.0,34.0,153.0,0.0152140061060925,0.9849011421895744,-2.167487318558988,0.0,21.0,680.0,0.037262436386785,0.9634232648487232,-1.7918720111804962,0.0,0.0083394976822481,0.9916951794649308,-2.3952366519274566
BCL2L1,BCL2L2,"BCL2, MCL1, BOK, BAX, BCL2A1, BAK1, BCL2L2",0.156882732330393,ENSG00000171552,20,ENSG00000105053,19,0.0,161.0,0.0,0.0,1.0,-inf,0.0,51.0,80.0,0.0106464103962242,0.9894100620436704,-2.30476254408168,0.0,0.0,1.0,-inf
SAMD4A,SAMD4B,SAMD4A,0.249386097693503,ENSG00000020577,14,ENSG00000003989,8,0.0,135.0,36.0,0.0142137773309514,0.9858867614928832,-2.1941242687129088,0.0,279.0,567.0,0.4127910783847816,0.661800532821909,-0.4173821153463434,0.0,0.0260696902335824,0.9742671903347524,-1.9475768222129
PIK3CA,PIK3CD,"PIK3CD, PIK3C2B, PIK3C2G, PIK3CG, PIK3CB, PIK3C2A",0.396466486803015,ENSG00000121879,3,ENSG00000169045,5,0.0,18.0,18.0,0.0009475851553967,0.9990528636616413,-3.106326758754076,0.0,384.0,28.0,0.0280564226912263,0.9723335035804546,-1.916252271495014,0.0,0.0179404319887018,0.982219539480332,-2.1019127319655584
PIK3CA,PIK3CG,"PIK3CD, PIK3C2B, PIK3C2G, PIK3CG, PIK3CB, PIK3C2A",0.188209834816084,ENSG00000121879,3,ENSG00000184743,11,0.0,18.0,129.0,0.0067910269470101,0.9932319799668368,-2.4693456473327267,1.0,384.0,685.0,0.6863803408389306,0.8489152516646203,-1.0317921517155344,0.0,0.1285730959190301,0.8793492832251654,-1.1717400617271858
DDX17,DDX5,DDX17,0.264906585655203,ENSG00000100201,22,ENSG00000221978,1,0.0,59.0,10.0,0.0017255408693953,0.9982759470203229,-2.9246800019158083,0.0,476.0,28.0,0.0347782739609993,0.9658195398592626,-1.8226202908027629,0.0,0.0123548113811083,0.987721195960226,-2.248291504573384
PAX8,PAX9,"PAX1, PAX5, PAX2, PAX9",0.115081485341539,ENSG00000125618,2,ENSG00000137693,11,,,,,,,,,,,,,,,,
FERMT2,FERMT3,"TLN2, FERMT3, TLN1, FERMT1",0.193684703672219,ENSG00000073712,14,ENSG00000140650,16,0.0,13.0,186.0,0.0070717929189795,0.9929531533689324,-2.454866460555996,1.0,127.0,1538.0,0.5096864600619867,0.9068443320055608,-1.3215701281120822,0.0,0.0613120492530549,0.940529702388224,-1.5592357376462418
FERMT1,FERMT2,"TLN2, FERMT3, TLN1, FERMT1",0.445191853136945,ENSG00000101311,20,ENSG00000118971,12,0.0,1.0,256.0,0.000748709258585,0.9992515709542548,-3.1752919655836824,1.0,154.0,895.0,0.3596555747332338,0.9489262840118762,-1.634530859579563,0.0,0.1023269083800033,0.9027343919887608,-1.2972906042043115
MAPK1,MAPK3,MAPK3,0.101589269407431,ENSG00000100030,22,ENSG00000103496,16,0.0,115.0,8.0,0.0026906738980401,0.9973129427205316,-2.7837094866793484,0.0,276.0,2.0,0.0014403967006656,0.998560640172766,-2.980400261389692,0.0,0.0057309713297242,0.9942854193599944,-2.529295939937236
PPP2R2A,PPP2R2D,"PPP2R2D, PPP2R2B, PPP2R2C",0.154321345373701,ENSG00000221914,8,ENSG00000135999,2,,,,,,,,,,,,,,,,
EGLN1,EGLN2,"EGLN2, EGLN3",0.104658440323689,ENSG00000135766,1,ENSG00000108654,17,0.0,12.0,0.0,0.0,1.0,-inf,0.0,207.0,332.0,0.1793293892328721,0.835830540468856,-0.9774651576003092,0.0,0.0,1.0,-inf
EGLN1,EGLN3,"EGLN2, EGLN3",0.126011366286901,ENSG00000135766,1,ENSG00000183785,22,0.0,12.0,90.0,0.0031586171846558,0.9968463659985668,-2.731364453245994,0.0,207.0,28.0,0.0151241653569892,0.9849896304208464,-2.169816641601368,0.0,0.048355070594548,0.9527954173731644,-1.6725842720235409
TERF1,TERF2,TERF2,0.11530435848321,ENSG00000147601,8,ENSG00000135423,12,0.0,144.0,182.0,0.0766491103476494,0.9262147957814316,-1.4481667955579975,0.0,286.0,535.0,0.3992664840015388,0.6708119168890117,-0.4421562171474161,0.0,0.1351034962204731,0.8736254900726359,-1.143697718604236
PTK2,TNK1,"TNK1, TNK2, PTK2B",0.140106873104844,ENSG00000169398,8,ENSG00000178035,3,0.0,158.0,53.0,0.0244909817632485,0.975806488932668,-1.973953574160901,0.0,363.0,225.0,0.2131239139979457,0.8080560015627942,-0.8707548970203491,1.0,0.0499357596977192,0.9987939492243204,-3.0341553888289354
CCND1,CCND3,"CCND3, CCND2",0.283554812735346,ENSG00000110092,11,ENSG00000143545,1,0.0,15.0,2.0,8.773936624044125e-05,0.9999122644827452,-3.7519406139480216,0.0,33.0,19.0,0.0016361027741256,0.9983652349123878,-2.941190854745492,0.0,0.0001713062082254,0.9998287084638452,-3.58077004053
CCND1,CCND2,"CCND3, CCND2",0.236222436928525,ENSG00000110092,11,ENSG00000160949,8,0.0,421.0,2.0,0.002462551545815,0.9975404780468898,-2.812287991844789,1.0,959.0,19.0,0.04754613819353,0.998904879741111,-3.0631447984705327,0.0,0.004978262232976,0.9950341087772296,-2.5781953797952566
PPA1,PPA2,PPA2,0.359147796177441,ENSG00000180817,10,ENSG00000105810,7,0.0,2.0,465.0,0.0027199203534536,0.9972837752785434,-2.780205586234432,0.0,19.0,281.0,0.0139316630160395,0.98616493349749,-2.2019317052609475,0.0,0.0229316719647252,0.9773292604800756,-2.001472643225723
NACA,NACA2,"NACAD, NACA2",0.18736607205258,ENSG00000196531,12,ENSG00000101210,20,0.0,498.0,0.0,0.0,1.0,-inf,0.0,389.0,106.0,0.1075965897739981,0.8979897816316715,-1.270180234072415,0.0,0.0,1.0,-inf
RAC1,RAC2,"RHOQ, RAC2, CDC42, RHOJ, RAC3, RHOG",0.215514256754145,ENSG00000136238,7,ENSG00000124145,20,0.0,43.0,77.0,0.0096835013874033,0.990363232740508,-2.3401976972614738,0.0,0.0,366.0,0.0,1.0,-inf,0.0,0.0,1.0,-inf
RAC1,RAC3,"RHOQ, RAC2, CDC42, RHOJ, RAC3, RHOG",0.136508116033749,ENSG00000136238,7,ENSG00000177885,17,0.0,43.0,2.0,0.0002515195165559,0.999748512111826,-3.4791666080249954,0.0,0.0,9.0,0.0,1.0,-inf,0.0,0.0,1.0,-inf
PPP2R1A,PPP2R1B,PPP2R1B,0.310032625957013,ENSG00000105568,19,ENSG00000069849,3,0.0,7.0,71.0,0.0014535488340499,0.9985475070563984,-2.977617164834673,0.0,50.0,232.0,0.0302692060284808,0.9701843189224182,-1.883509436970796,0.0,0.0092141975636417,0.9908281230714184,-2.3586053170319823
ATL2,ATL3,"ATL3, ATL1",0.308136202111249,ENSG00000119787,2,ENSG00000112186,6,,,,,,,,,,,,,,,,
TUBA1B,TUBA4A,"TUBA3C, TUBA4A, TUBA1C, TUBA3D, TUBA1A, TUBAL3, TUBA3E, TUBA8",0.134878785316926,ENSG00000123416,12,ENSG00000178035,3,0.0,158.0,2.0,0.0009241879910659,0.999076238939124,-3.113708035455643,0.0,363.0,11.0,0.0104193913510106,0.9896347024691432,-2.3128553199348274,0.0,0.0018843682904799,0.9981174060167892,-2.897192374398646
UBE2D1,UBE2D3,"UBE2D1, UBE2D4, UBE2D2",0.117099739212038,ENSG00000072401,10,ENSG00000155926,8,0.0,53.0,11.0,0.0017050683506059,0.9982963844526072,-2.928389325813617,0.0,47.0,56.0,0.0068679784712897,0.9931555521926696,-2.465325180528489,0.0,0.0013418986310993,0.9986590013122796,-3.002014117512356
UBE2D2,UBE2D3,"UBE2D1, UBE2D4, UBE2D2",0.180444859553089,ENSG00000131508,5,ENSG00000147614,8,0.0,0.0,98.0,0.0,1.0,-inf,0.0,1.0,694.0,0.0018109335330832,0.9981907052176752,-2.9096281907027084,0.0,0.0002543637637287,0.9997456685839908,-3.476152564231376
PSMB6,PSMB9,PSMB9,0.417041068987625,ENSG00000142507,17,ENSG00000085449,2,,,,,,,,,,,,,,,,
ILF3,STRBP,"ZFR2, ILF2, STRBP, ZFR",0.181282094045483,ENSG00000129351,19,ENSG00000005243,17,0.0,91.0,8.0,0.0021291419541013,0.997873123060831,-2.8587040842691778,0.0,372.0,76.0,0.0737733614514836,0.928882190498455,-1.4675164451085323,0.0,0.0077243526618021,0.99230540348527,-2.4230881243830527
BRD2,BRD3,"BRD4, BRDT, BRD3",0.252381116010749,ENSG00000204256,6,ENSG00000132639,20,0.0,440.0,2.0,0.0025736880763862,0.9974296210193022,-2.7980787348803715,0.0,75.0,106.0,0.0207448437867605,0.9794688502509776,-2.042900392235952,0.0,0.0003893322914214,0.9996107434885604,-3.360323336229976
CDK4,CDK6,CDK6,0.284796662491251,ENSG00000135446,12,ENSG00000169750,17,0.0,18.0,55.0,0.0028953990859345,0.9971087885394084,-2.759870775292629,0.0,276.0,230.0,0.1656456205765485,0.8473464631398476,-1.025118931676219,0.0,0.0394004278918539,0.9613656744318784,-1.766758681535656
ASF1A,ASF1B,ASF1A,0.257677538439914,ENSG00000111875,6,ENSG00000134287,12,0.0,3.0,2.0,1.754787324808825e-05,0.9999824522807148,-4.137602041405745,0.0,49.0,0.0,0.0,1.0,-inf,0.0,0.0002543637637287,0.9997456685839908,-3.476152564231376
TUBA1C,TUBA8,"TUBA3C, TUBA4A, TUBA3D, TUBA1B, TUBA1A, TUBAL3, TUBA3E, TUBA8",0.115189940869487,ENSG00000167553,12,ENSG00000164032,4,,,,,,,,,,,,,,,,
VPS4A,VPS4B,VPS4B,0.303367489232071,ENSG00000132612,16,ENSG00000198597,19,0.0,1.0,51.0,0.0001491569226087,0.999850854200732,-3.616779151912288,1.0,191.0,664.0,0.3309363608065562,0.9559462077052236,-1.705465804666144,0.0,0.025283239004911,0.9750337053374706,-1.9605410118687785
MYH10,MYH9,"MYH11, MYH14, MYH10",0.506548714887435,ENSG00000133026,17,ENSG00000105851,7,0.0,263.0,45.0,0.034613179981854,0.965979004013158,-1.824728620962075,1.0,1446.0,482.0,1.8186887124208908,0.4572994133337973,0.1072396928136831,0.0,0.1688923480186388,0.8445998213364219,-1.0135440697354974
BCAR1,NEDD9,"NEDD9, CASS4, EFS",0.169359701602473,ENSG00000050820,16,ENSG00000136527,3,0.0,2.0,118.0,0.0006902163477581,0.9993100217967515,-3.1988109224510963,0.0,64.0,289.0,0.0482637271295501,0.952882452983028,-1.673468543839151,0.0,0.0196015830987668,0.9805892788315216,-2.0660745346260256
NDE1,NDEL1,NDEL1,0.175191237085993,ENSG00000072864,16,ENSG00000073712,14,0.0,13.0,102.0,0.0038780799878275,0.996129430053052,-2.663156513132896,0.0,127.0,433.0,0.1434943024751886,0.8663257360855595,-1.1091892993327863,0.0,0.0336227366871591,0.9669362253989991,-1.8375580901989437
NCKAP1,NCKAP1L,NCKAP1L,0.240437220866055,ENSG00000061676,2,ENSG00000125870,20,,,,,,,,,,,,,,,,
EFR3A,EFR3B,EFR3B,0.737757669528008,ENSG00000132294,8,ENSG00000109971,11,0.0,120.0,14.0,0.0049134045094647,0.9950986465172038,-2.58271216020866,0.0,280.0,187.0,0.1366289334182117,0.8722938451817355,-1.1373014001638155,0.0,0.010174550549148,0.9898770350884925,-2.3217587446683945
RAB6A,RAB6C,"RAB6C, RAB41, RAB6B",0.104926563970249,ENSG00000175582,11,ENSG00000174292,17,0.0,7.0,963.0,0.0197150355942271,0.98047803484139,-2.0637236011310818,0.0,12.0,451.0,0.0141221502608739,0.9859770995469096,-2.196645123421628,0.0,0.0299941597311109,0.9704512012279166,-1.8874665782223408
RAB6A,RAB6B,"RAB6C, RAB41, RAB6B",0.64886525169587,ENSG00000175582,11,ENSG00000127824,2,,,,,,,,,,,,,,,,
CCND1,CCND2,"CCND3, CCND1",0.125241824348774,ENSG00000110092,11,ENSG00000025039,6,0.0,58.0,2.0,0.0003392588827963,0.999660798658991,-3.398161865828808,0.0,195.0,19.0,0.0096678800289242,0.9903787036804296,-2.34079765941612,0.0,0.0010122639576958,0.9989882482086336,-3.086760794552838
IRS1,IRS2,"IRS2, IRS4",0.189174726495473,ENSG00000169047,2,ENSG00000173262,12,,,,,,,,,,,,,,,,
